Date,Section,Top Hat (2477651),TH-Attendance (2477654),Homework #1 (2425786),Homework #2 (2425789),Homework #3 (2425790),Homework #4 (2425791),Homework #5 (2425793),Homework #6 (2425794),Homework #7 (2425796),Homework #8 (2425798),Homework #9 (2425800),Homework #10 (2425801),Homework #11 (2425802),Homework #12 (2425805),Homework #13 (2425806),Homework #14 (2425809),Homework #15 (2425810),Homework #16 (2425811),Homework #17 (2425812),Homework #18 (2425814),Homework #19 (2425815),Homework #20 (2425817),Homework #21 (2425818),Homework #22 (2425820),Hello Jack (2425787),Project #1 (2425788),Project #2 (2425792),Project #3 (2425795),Project #4 (2425799),Project #5 (2425803),Project #6 (2425804),Project #7 (2425807),Project #8 (2425813),Project #9 (2425816),Project #10 (2425819),Project #11 (2425821),Midterm Exam #1 (2425797),Midterm Exam #2 (2425808),Final Exam (2425822),Participation (2425823)
12/21/2021,29428 | CSE 2221: DL 357 4:10 - 5:05 and 29429 | CSE 2221: Baker Syst 4:10 - 5:05,25.32,78.43,2,2,2,2,2,2,2,2,1.8,2,2,2,2,2,2,2,1,2,2,1.5,2,2,0,10,7.5,9.75,8.5,10,9.5,2.5,3,5.5,7,8.5,74,75,66,4
12/21/2021,29428 | CSE 2221: DL 357 4:10 - 5:05 and 29429 | CSE 2221: Baker Syst 4:10 - 5:05,40.51,15.69,2,2,2,2,2,2,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,9.5,9.25,10,10,6,7,8.5,7.75,93,93,80,4
12/21/2021,29428 | CSE 2221: DL 357 4:10 - 5:05 and 29429 | CSE 2221: Baker Syst 4:10 - 5:05,41.77,82.35,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,10,10,10,10,9.75,10,9,10,10,10,10,100,100,97,4
12/21/2021,29428 | CSE 2221: DL 357 4:10 - 5:05 and 29429 | CSE 2221: Baker Syst 4:10 - 5:05,17.72,23.53,2,1.5,2,2,0,2,2,2,0,2,0,1.75,2,0,2,2,0.5,0,2,2,0,2,0,10,8,8,7.25,8,9.5,9.5,5.5,10,9,10,75.5,53,61,3
12/21/2021,29428 | CSE 2221: DL 357 4:10 - 5:05 and 29429 | CSE 2221: Baker Syst 4:10 - 5:05,30.38,56.86,2,2,2,2,2,2,2,2,2,2,2,1.75,2,2,2,2,0,2,2,1.5,2,0,0,8,9.5,10,9.5,9.75,10,10,8.5,9.75,9,10,98,96,90,3
12/21/2021,29428 | CSE 2221: DL 357 4:10 - 5:05 and 29429 | CSE 2221: Baker Syst 4:10 - 5:05,16.46,19.61,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8.75,10,8.25,6.25,9.5,6.75,0,0,0,0,68,46,53,1
12/21/2021,29428 | CSE 2221: DL 357 4:10 - 5:05 and 29429 | CSE 2221: Baker Syst 4:10 - 5:05,39.24,49.02,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,10,9.5,10,8.5,10,9.5,10,10,10,9,9,95,98,96,4
12/21/2021,29428 | CSE 2221: DL 357 4:10 - 5:05 and 29429 | CSE 2221: Baker Syst 4:10 - 5:05,32.91,31.37,2,2,2,2,2,2,2,2,2,1.5,2,1.75,2,2,2,2,2,2,2,2,2,2,0,10,10,10,10,9,10,10,10,10,11.5,10,88,89,82,4
12/21/2021,29428 | CSE 2221: DL 357 4:10 - 5:05 and 29429 | CSE 2221: Baker Syst 4:10 - 5:05,34.18,56.86,2,2,2,2,2,2,0,2,2,2,2,0,2,2,2,2,1.5,0,2,1.5,2,2,0,10,6.5,9.75,8,10,10,9.5,7.5,9.75,8,9.5,73,75,56,4
12/21/2021,29428 | CSE 2221: DL 357 4:10 - 5:05 and 29429 | CSE 2221: Baker Syst 4:10 - 5:05,32.91,68.63,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,3,0,0,0,0,0,53.5,64,23,2
12/21/2021,29428 | CSE 2221: DL 357 4:10 - 5:05 and 29429 | CSE 2221: Baker Syst 4:10 - 5:05,15.19,21.57,2,2,2,2,2,1.5,2,2,2,2,2,0,2,1.75,0,2,2,2,0,2,2,0,0,8,8.5,9.5,7.75,8.75,10,7,6.5,9.5,9,9.5,80.5,64,49,1
12/21/2021,29428 | CSE 2221: DL 357 4:10 - 5:05 and 29429 | CSE 2221: Baker Syst 4:10 - 5:05,6.33,9.8,2,2,2,2,0,0,0,0,0,2,2,1.5,0,0,0,2,0,0,0,0,0,0,0,8,8.5,8.5,10,10,10,10,9,10,0,0,91,80,42,2
12/21/2021,29428 | CSE 2221: DL 357 4:10 - 5:05 and 29429 | CSE 2221: Baker Syst 4:10 - 5:05,40.51,80.39,2,2,2,2,2,2,2,2,2,2,2,2,2,1.75,2,2,2,2,2,2,2,2,0,10,9,9.5,8.5,9.5,8.5,8.5,5.5,10,9,10,79,87,64,4
12/21/2021,29428 | CSE 2221: DL 357 4:10 - 5:05 and 29429 | CSE 2221: Baker Syst 4:10 - 5:05,22.78,33.33,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,1.5,2,2,0,0,0,10,10,10,9.75,9.25,10,9.5,10,8.5,10,4.5,94.5,87,75,3
12/21/2021,29428 | CSE 2221: DL 357 4:10 - 5:05 and 29429 | CSE 2221: Baker Syst 4:10 - 5:05,43.04,68.63,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,10,8.5,9,8,9.5,10,8.5,8.5,10,9.5,9.5,84,88,76,4
12/21/2021,29428 | CSE 2221: DL 357 4:10 - 5:05 and 29429 | CSE 2221: Baker Syst 4:10 - 5:05,17.72,11.76,2,2,2,1.5,2,2,2,1.5,2,0,1.75,0,0,0,0,2,0,2,0,2,0,0,0,7,9,0,9,9.5,8.5,7.75,3,8.5,9,6.5,59,61,47,3
12/21/2021,29428 | CSE 2221: DL 357 4:10 - 5:05 and 29429 | CSE 2221: Baker Syst 4:10 - 5:05,39.24,52.94,2,2,2,2,2,2,2,2,2,2,2,2,1,0,2,2,2,2,2,2,2,2,0,10,6.5,8,9,6,9.8,9,4,7,6,6.5,88,84,74,4
12/21/2021,29428 | CSE 2221: DL 357 4:10 - 5:05 and 29429 | CSE 2221: Baker Syst 4:10 - 5:05,15.19,39.22,2,2,0,1.5,2,1.5,0.5,0,1,2,0,1.5,0,0,1.5,0,0,0,0,0,0,0,0,7.5,9,8.5,6.75,7.25,10,9.75,1.5,9.5,7.75,8,51,38,35,2
12/21/2021,29428 | CSE 2221: DL 357 4:10 - 5:05 and 29429 | CSE 2221: Baker Syst 4:10 - 5:05,31.65,58.82,2,2,2,2,2,2,2,2,2,2,2,1.75,2,1.75,2,2,2,2,2,2,2,2,0,10,9.5,8,8.5,10,9.75,9,9.75,10,11,10,94,90,80,4
12/21/2021,29428 | CSE 2221: DL 357 4:10 - 5:05 and 29429 | CSE 2221: Baker Syst 4:10 - 5:05,40.51,90.2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,10,9.5,10,8.25,9.5,10,10,10,10,12,10,86,80,74,4
12/21/2021,29428 | CSE 2221: DL 357 4:10 - 5:05 and 29429 | CSE 2221: Baker Syst 4:10 - 5:05,37.97,88.24,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,10,8.5,8,9,10,10,10,6.25,10,11,10,94,89,74,4
